title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,Book Series Title,Journal Volume,Journal Issue,Item DOI,URL,Content Type,"﻿""Authors""",Author full names,Author(s) ID,Year,Source title,Art. No.,Page start,Page end,Cited by,Link,Document Type,Publication Stage,Open Access,Source,EID,year,venue,keyword,notes,author,isbn,publisher,address,url,doi,abstract,booktitle,pages,numpages,location,keywords,series,issue_date,volume,number,issn,journal,articleno,note,editor,edition,NDVI,_t,Screening_Score,I1_Publication_Type,I2_Date_Language,I3_Technical_Relevance,I4_Safety_Verification,I5_DO178_Related,E1_NonResearch_Material,E2_Language_Date,E3_Insufficient_Technical_Relevance,E4_Insufficient_Safety_Verification,E5_Duplicate_Superseded,E6_Book,Screening_Decision
Efficient Counterexample Generation for Control Systems Using Multi-Fidelity Bayesian Optimization,Z. Shahrooei; M. J. Kochenderfer; A. Baheri,"Department of Mechanical Engineering, Rochester Institute of Technology, Rochester, NY, USA; Department of Aeronautics and Astronautics, Stanford University, Stanford, CA, USA; Department of Mechanical Engineering, Rochester Institute of Technology, Rochester, NY, USA",IEEE Access,28 Apr 2026,2026.0,14,,61902,61922,"Testing controllers in safety-critical systems is vital for ensuring their safety and preventing catastrophic failures. In this paper, we address the falsification problem within closed-loop control systems through simulation. This problem involves the identification of counterexamples that violate system safety requirements, which is formulated as an optimization task based on these requirements. Solving this optimization problem using full-fidelity simulations can be computationally expensive. To improve efficiency, we propose a multi-fidelity Bayesian optimization falsification framework that uses simulators with varying levels of accuracy. Our proposed framework can transition between different simulators and establish meaningful relationships between them. Through multi-fidelity Bayesian optimization, we determine both the optimal system input likely to be a counterexample and the appropriate fidelity level for assessment. To address the performance limitations in multi-fidelity Bayesian optimization caused by manually assigned simulator costs, we present a systematic method for determining these costs based on measurable parameters. Additionally, we establish the asymptotic convergence of the multi-fidelity Bayesian optimization algorithm, which provides a theoretical basis for its efficiency in falsifying the system under test. We evaluate our approach across various Gym classic control tasks and autonomous driving scenarios, each featuring different levels of fidelity. The results demonstrate that our two- and three-fidelity Bayesian optimization frameworks are more computationally efficient than full-fidelity Bayesian optimization and other Bayesian optimization-based falsification methods in detecting counterexamples. A Python implementation of the algorithm is available at https://github.com/SAILRIT/MFBO_Falsification",2169-3536,,10.1109/ACCESS.2026.3685995,National Science Foundation (NSF)(grant numbers:2132060); Federal Aviation Administration (FAA)(grant numbers:692M15-21-T-00022); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11488849,Multi-fidelity Bayesian optimization;falsification;safety-critical systems;simulation-based testing;counterexample generation,Feeds;Radio broadcasting;Frequency modulation;Circuits and systems;Filtering;Integrated circuits;Contacts;Filters;Circuits;Radio access networks,,,,103.0,CCBY,21 Apr 2026,2026,,IEEE,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,Pass provisionally—publication metadata requires verification,Pass date; English should be verified,Pass—language + analysis/verification signal,Pass—safety/verification signal,Not explicit—full-text relevance check needed,No obvious signal,No date exclusion signal,No obvious signal,No obvious signal,Requires duplicate/version checking,No obvious signal,SCREEN — manual eligibility review
Smart-PCLib: A LLM-based Multi-Agent Framework for Automated PCB Component Library Generation,Z. Di; J. Tu; Z. He; Y. Pu; J. Liu; C. Tong; T. -Y. Ho; B. Yu; T. Chen,"The Chinese University of Hong Kong, Shenzhen; The Chinese University of Hong Kong, Shenzhen; The Chinese University of Hong Kong; The Chinese University of Hong Kong; The Chinese University of Hong Kong; The Chinese University of Hong Kong, Shenzhen; The Chinese University of Hong Kong; The Chinese University of Hong Kong; The Chinese University of Hong Kong, Shenzhen","2026 Design, Automation & Test in Europe Conference (DATE)",4 Jun 2026,2026.0,,,1,7,"PCB design heavily relies on high-quality component libraries, while current library generation primarily depends on manual operation. To address the inefficiency and error-proneness inherent in this manual process, we propose Smart-PCLib, a novel multi-agent framework. It orchestrates a team of collaborative agents, each powered by a fine-tuned MLLM. These agents follow a structured workflow to extract data and generate code, governed by a robust verification-and-correction loop. A key innovation is PyPCLib, a Python-based domains-pecific language (DSL) that reframes library creation as a structured code generation task, which not only improves reliability but also enables automated verification and modular design. Evaluated on a large-scale, diverse dataset, Smart-PCLib demonstrates high accuracy and efficiency, and its specialized agents outperform state-of-the-art general-purpose MLLMs on domain-specific tasks.",1558-1101,978-3-9826741-1-7,10.23919/DATE69613.2026.11539310,National Key Research and Development Program of China; National Natural Science Foundation of China; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11539310,,Modeling;PIN photodiodes;Pins;Codes;Symbols;Libraries;Large language models;Printing;Design methodology;Brain,,,,20.0,,4 Jun 2026,20-22 April 2026,20-22 April 2026,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,Pass provisionally—publication metadata requires verification,Pass date; English should be verified,Pass—language + analysis/verification signal,Pass—safety/verification signal,Not explicit—full-text relevance check needed,No obvious signal,No date exclusion signal,No obvious signal,No obvious signal,Requires duplicate/version checking,No obvious signal,SCREEN — manual eligibility review
"Real-Time Traffic Data Acquisition, Transmission, and Visualization Test System Based on Physical-Virtual Integration",Z. Miao; Z. Weng; J. Xin; X. Yang; S. Li; M. Zhang,"Beijing Key Laboratory of Intelligent Control Technology for Urban Road Traffic, North China University of Technology, Beijing, China; Beijing Key Laboratory of Intelligent Control Technology for Urban Road Traffic, North China University of Technology, Beijing, China; Beijing Key Laboratory of Intelligent Control Technology for Urban Road Traffic, North China University of Technology, Beijing, China; Beijing Key Laboratory of Intelligent Control Technology for Urban Road Traffic, North China University of Technology, Beijing, China; Beijing Key Laboratory of Intelligent Control Technology for Urban Road Traffic, North China University of Technology, Beijing, China; Beijing Key Laboratory of Intelligent Control Technology for Urban Road Traffic, North China University of Technology, Beijing, China",2026 IEEE 3rd International Conference on Big Data Science and Engineering (ICBDSE),10 Aug 2026,2026.0,,,1,6,"To address the limitations of the existing real-time traffic data experimental platform in terms of communication, terminal display, and interactive feedback, this paper has established a physical and virtual integrated real-time traffic data collection, transmission, and visualization testing system. This system is based on SUMO and TraCI, continuously acquiring vehicle status, traffic signal status, and near-traffic statistics data, and then transmitting them through a Python server, TCP sockets, and JSON messages to a Qt terminal based on RK3588. Unlike traditional systems that focus on display results, the system established in this paper has a complete real-time data path and test evaluation module, including data generation, transmission, parsing, visualization, query, and feedback interaction. Moreover, it introduces targeted processing methods to address the ambiguity of TCP byte stream message boundaries and abnormal message handling, thereby improving the stability of data in an embedded environment. The results show that the system operates stably with low latency and can support the visualization and interactive verification of real-time traffic data on embedded terminals.",,979-8-3315-5243-5,10.1109/ICBDSE70225.2026.11635405,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11635405,real-time data interaction;low-latency transmission;data visualization;physical-virtual integration,Timing;Displays;Visualization;Real-time systems;Simulation;Vehicles;Stability;Feedback;Servers;Data communication,,,,8.0,IEEE,10 Aug 2026,12-14 June 2026,12-14 June 2026,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,Pass provisionally—publication metadata requires verification,Pass date; English should be verified,Pass—language + analysis/verification signal,Pass—safety/verification signal,Not explicit—full-text relevance check needed,No obvious signal,No date exclusion signal,No obvious signal,No obvious signal,Requires duplicate/version checking,No obvious signal,SCREEN — manual eligibility review
Intelligent Test Data Automation: A Python-Based Framework for Deterministic and Scalable Software Testing,D. S. D. Naga,"QA Automation Independent Researcher, Apex, United States",2026 IEEE 5th International Conference on AI in Cybersecurity (ICAIC),23 Feb 2026,2026.0,,,1,5,"As in many areas where software systems are turning to data-driven and AI-enabled elements, we see that the quality and consistency of test data are being recognised as vital to validating system performance. We see that traditional methods of test data generation are manual, tied to the environment and non-deterministic, which in turn limits their value in automated and intelligent testing systems. This work presents an AI-enabled Python-based test data automation framework that combines deterministic data generation, intelligent constraint enforcement, and neuro-symbolic data synthesis. We present a framework that combines rule-based generation and machine-assisted validation to guarantee schema compliance, referential integrity, and policy adherence in large-scale test environments. By weaning test data logic away from the infrastructure, enabling on-demand generation within CI/CD pipelines, we have a solution that supports the reliable testing of AI and data-intensive systems. We have evaluated the framework in enterprise-scale testing, which has reported improved reproducibility, scalability and automation reliability. We report a 68% reduction in defect injection rates through a shift-left approach to access and data integrity. We have also developed a new quantitative model to measure the return on investment of proactive accessibility engineering, using metrics such as Compliance Velocity and Defect Escape Rate. A long-term case study within the Texas Medicaid Healthcare Partnership (TMHP) system, we use as a baseline and proven model for the adoption of proactive accessibility engineering in large-scale, compliance-driven organisational settings.",,978-1-6654-7761-1,10.1109/ICAIC67076.2026.11395761,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11395761,AI-Assisted Test Data Synthesis;Deterministic Automation;Python-Based Reasoning Engines;Software Development Life Cycle (SDLC);TMHP;WAI-ARIA 1.2;WCAG 2.1 Compliance;CI/CD Integration;Scalable Software Testing,Software testing;Automation;System performance;Pipelines;Data collection;Turning;Cognition;Logic;Velocity measurement;Artificial intelligence,,,,7.0,IEEE,23 Feb 2026,18-20 Feb. 2026,18-20 Feb. 2026,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,Pass provisionally—publication metadata requires verification,Pass date; English should be verified,Pass—language + analysis/verification signal,Fail/uncertain,Not explicit—full-text relevance check needed,No obvious signal,No date exclusion signal,No obvious signal,Possible exclusion,Requires duplicate/version checking,No obvious signal,SCREEN — manual eligibility review
FogZoneSim: A Zone-Based Simulator for Resource Management in Large-Scale IoT–Fog Networks,A. Khorsandi; K. Bakhshi; B. Safaei; A. M. A. Hemmatyar,"Department of Computer Engineering, Sharif University of Technology, Tehran, Iran; Department of Computer Engineering, Sharif University of Technology, Tehran, Iran; Department of Computer Engineering, Sharif University of Technology, Tehran, Iran; Department of Computer Engineering, Sharif University of Technology, Tehran, Iran",IEEE Internet of Things Journal,8 Apr 2026,2026.0,13,8,17763,17773,"While cloud computing offers a more scalable and resource-rich alternative to localized edge and Internet of Things (IoT) device data processes, it falls short in latency-sensitive, safety-critical applications due to delays caused by geographical distance. In domains like healthcare, where real-time analysis of patient vitals and emergency alerts is essential, and in VANETs, where vehicles must instantly exchange data for collision avoidance and traffic safety, such delays can have serious consequences. To address these limitations, fog computing architectures are increasingly adopted to enable proximate, low-latency data processing, ensuring timely and reliable responses in both healthcare and intelligent transportation systems. However, adopting fog computing introduces additional complexities related to task offloading, task scheduling, resource management, heterogeneity, and scalability. While these scientific fields of study have gained significant attention in the past few years, the existing widely used simulation tools, for example, FogWorkflowSim, cannot effectively address critical issues such as supporting large-scale IoT networks, handling environment partitioning for parallel execution, and managing diverse resource management policies. Furthermore, since they are written in Java, they do not support many of the existing Python-based machine learning (ML) libraries, which are significantly attractive to many researchers. To address these limitations, this article introduces FogZoneSim, an advanced modular fog computing simulator specifically designed to manage large-scale IoT environments. FogZoneSim effectively simulates scalable IoT ecosystems by clearly modeling IoT resources, brokers, and the infrastructure, supporting dependent workflows, providing customizable policies, partitioning environments, and scaling across numerous IoT devices. Also, its seamless integration with ML algorithms through Python libraries is another strong point. According to an extensive set of simulations, FogZoneSim has demonstrated its ability to significantly enhance researchers’ capabilities in analyzing and optimizing resource management strategies, energy efficiency, execution time, and overall system performance.",2327-4662,,10.1109/JIOT.2026.3663674,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11393577,Big data;fog computing;Internet of Things;mobile networks;modular;scalable;simulator;tool;zoning,Internet of Things;Edge computing;Cloud computing;Resource management;Java;Computational modeling;Processor scheduling;Machine learning;Delays;Computer architecture,,,,23.0,IEEE,11 Feb 2026,"15 April15, 2026",,IEEE,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,Pass provisionally—publication metadata requires verification,Pass date; English should be verified,Pass—language + analysis/verification signal,Pass—safety/verification signal,Not explicit—full-text relevance check needed,No obvious signal,No date exclusion signal,No obvious signal,No obvious signal,Requires duplicate/version checking,No obvious signal,SCREEN — manual eligibility review
Real-Time AFDX Network Analysis and Fault Diagnosis in Unity,A. G. Sarıkaya; M. Çiydem; M. E. Çelik,"Department of Electrical Electronics Engineering, ASELSAN A.Ş., Graduate School of Natural and Applied Sciences, Gazi University, Ankara, Türkiye; Department of Electrical Electronics Engineering, Faculty of Engineering, Gazi University, Ankara, Türkiye; Department of Electrical Electronics Engineering, Faculty of Engineering, TUSAŞ-Kazan Vocational School, Gazi University, Ankara, Türkiye","2026 18th International Conference on Electronics, Computers and Artificial Intelligence (ECAI)",24 Jul 2026,2026.0,,,1,7,"Runtime fault diagnosis in Avionics Full-Duplex Switched Ethernet (AFDX), standardized under ARINC 664 Part 7, remains fundamentally limited in operational deployments. Faults such as Bandwidth Allocation Gap (BAG) violations, sequence number anomalies, babbling-idiot failures, and asymmetric redundancy path degradation manifest as transient, correlated perturbations across multiple switches and Virtual Links, rendering them invisible to single-stream packet inspection. Existing diagnostic approaches — including dedicated hardware analyzers and offline simulation frameworks — operate at the packet-trace level in isolation from the underlying network topology, and none provides interactive, topology-aware observation of fault propagation during live operation. This paper presents a software-based real-time framework for AFDX network analysis and fault diagnosis implemented in Unity. A Python-based traffic generator emits binary-encoded AFDX frames over UDP, preserving Virtual Link semantics and BAG constraints specified in ARINC 664 Part 7. The Unity runtime engine parses incoming frames, enforces protocol compliance — including BAG enforcement, sequence number integrity verification, and dual-redundancy management across Network A and Network B — and renders the results on a topology-aware interactive display. Six fault injection scenarios executed within the Systems Integration Laboratory on a five-end-system, five-Virtual-Link topology confirm detection of all fault types within one render cycle, providing fault observability that offline simulation frameworks do not support by design and that hardware analyzers achieve only through dedicated avionics interfaces. The framework architecture extends directly to full-scale avionics topologies and richer fault vocabularies without structural modification.",2688-0253,979-8-3315-5818-5,10.1109/ECAI69016.2026.11613800,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11613800,AFDX;ARINC 664 Part 7;avionics networks;fault diagnosis;real-time visualization;virtual link;redundancy management,Bagging;Switches;Sequences;Sequential analysis;Modeling;Visualization;Topology;Redundancy;Termination of employment;Timing,,,,9.0,IEEE,24 Jul 2026,2-3 July 2026,2-3 July 2026,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,Pass provisionally—publication metadata requires verification,Pass date; English should be verified,Pass—language + analysis/verification signal,Pass—safety/verification signal,Not explicit—full-text relevance check needed,No obvious signal,No date exclusion signal,No obvious signal,No obvious signal,Requires duplicate/version checking,No obvious signal,SCREEN — manual eligibility review
LTL Model Checking of&#xa0;Concurrent Self Modifying Code,Tayssir TouiliOlzhas Zhangeldinov,,Engineering of Complex Computer Systems,,2026.0,,,,,,,,,,,,,,,,,,,,,,,,,,10.1007/978-3-032-00828-2_17,https://link.springer.com/chapter/10.1007/978-3-032-00828-2_17,Conference paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,Pass provisionally—publication metadata requires verification,Pass date; English should be verified,Pass—language + analysis/verification signal,Fail/uncertain,Not explicit—full-text relevance check needed,No obvious signal,No date exclusion signal,No obvious signal,Possible exclusion,Requires duplicate/version checking,No obvious signal,SCREEN — manual eligibility review
Detecting Python Malware in the Software Supply Chain with Program Analysis,R. Shariffdeen; B. Hassanshahi; M. Mirchev; A. El Husseini; A. Roychoudhury,"National University of Singapore, Singapore; Oracle Labs, Australia; Oracle Labs, Australia; National University of Singapore, Singapore, CNRS@CREATE, Singapore; Oracle Labs, Australia",2025 IEEE/ACM 47th International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP),20 Aug 2025,2025.0,,,203,214,"The frequency of supply-chain attacks has reached unprecedented levels, amounting to a growing concern about the security of open-source software. Existing state-of-the-art techniques often generate a high number of false positives and false negatives. For an effective detection tool, it is crucial to strike a balance between these results. In this paper, we address the problem of software supply chain protection through program analysis. We present HERCULE, an inter-package analysis tool to detect malicious packages in the Python ecosystem. We enhance state-of-the-art approaches with the primary goal of reducing false positives. Key technical contributions include improving the accuracy of pattern-based malware detection and employing program dependency analysis to identify malicious packages in the development environment. Extensive evaluation against multiple benchmarks including Backstabber's Knife Collection and MalOSS demonstrates that HERCULE outperforms existing state-of-the-art techniques with 0.949 f1-score. Additionally, HERCULE detected new malicious packages which the PyPI security team removed, showing its practical value",2832-7659,979-8-3315-3685-5,10.1109/ICSE-SEIP66354.2025.00024,"National Research Foundation, Singapore; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11121698,software supply chain security;malware detection;program analysis,Accuracy;Supply chains;Ecosystems;Benchmark testing;Malware;Security;Protection;Open source software;Software engineering;Python,,3.0,,42.0,IEEE,20 Aug 2025,27 April-3 May 2025,27 April-3 May 2025,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,Pass provisionally—publication metadata requires verification,Pass date; English should be verified,Pass—language + analysis/verification signal,Fail/uncertain,Not explicit—full-text relevance check needed,No obvious signal,No date exclusion signal,No obvious signal,Possible exclusion,Requires duplicate/version checking,No obvious signal,SCREEN — manual eligibility review
"Enhancing Python Code Security: A Comparison of Machine Learning, ChatGPT, and Static Analysis Methods",T. Farasat; J. Posegga,"University of Passau, Passau, Germany; University of Passau, Passau, Germany",2025 International Conference on Electrical and Computer Engineering Researches (ICECER),25 Feb 2026,2025.0,,,1,4,"Detecting software vulnerabilities in Python code is crucial for maintaining application security. This paper presents a comparative study of static analysis tools, a machine learning model, and the large language model ChatGPT for vulnerability detection in Python source code. We evaluate these approaches on 21 Python scripts representing seven common vulnerability types. Our results show that both the machine learning model and ChatGPT significantly outperform traditional static analyzers. This work highlights the promising potential of leveraging advanced data-driven methods and large language models to improve Python vulnerability detection.",,978-1-6654-5756-9,10.1109/ICECER65523.2025.11401125,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11401125,Software Vulnerabilities;Python;Static analyzers;Machine Learning;ChatGPT,Analytical models;Electric potential;Codes;Large language models;Source coding;Machine learning;Static analysis;Chatbots;Software;Python,,,,37.0,IEEE,25 Feb 2026,6-8 Dec. 2025,6-8 Dec. 2025,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,Pass provisionally—publication metadata requires verification,Pass date; English should be verified,Pass—language + analysis/verification signal,Fail/uncertain,Not explicit—full-text relevance check needed,No obvious signal,No date exclusion signal,No obvious signal,Possible exclusion,Requires duplicate/version checking,No obvious signal,SCREEN — manual eligibility review
Growlithe: A Developer-Centric Compliance Tool for Serverless Applications,P. Gupta; A. Moghimi; D. Sisodraker; M. Shahrad; A. Mehta,The University of British Columbia; The University of British Columbia; The University of British Columbia; The University of British Columbia; The University of British Columbia,2025 IEEE Symposium on Security and Privacy (SP),16 Jun 2025,2025.0,,,3161,3179,"Serverless applications consist of functions written in heterogeneous programming languages, use diverse data stores and communication services, and evolve rapidly. Consequently, it is challenging for serverless tenants to protect their application data from inadvertent leaks due to bugs, misconfigurations, and human errors. Cloud security tools, such as Identity and Access Management (IAM), lack observability into a tenant's application, whereas the state-of-the-art dataflow tracking tools require support from the cloud platform and incur significant runtime overheads. We present Growlithe, a tool that integrates with the serverless application development toolchain and enables continuous compliance with data policies by design. Growlithe allows declarative specification of access and data flow control policies over a language- and platform-independent dataflow graph abstraction of a serverless application, and enforces these policies through a combination of static analysis and runtime enforcement. We used Growlithe with applications using Python and JavaScript functions that can be hosted on AWS Lambda and Google Cloud Functions platforms. We empirically demonstrate that Growlithe is cross-cutting, portable and efficient, and enables developers to easily adapt their application and policies to evolving requirements.",2375-1207,979-8-3315-2236-0,10.1109/SP61157.2025.00099,"Natural Sciences and Engineering Research Council of Canada (NSERC)(grant numbers:DGDND-2021-02961,GPIN-2021-03714,DGECR-202100462); Institute for Computing, Information and Cognitive Systems (ICICS) at UBC; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11023327,,Privacy;Runtime;Flow production systems;Computer bugs;Static analysis;Syntactics;Internet;Security;Observability;Python,,2.0,,77.0,IEEE,16 Jun 2025,12-15 May 2025,12-15 May 2025,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,Pass provisionally—publication metadata requires verification,Pass date; English should be verified,Pass—language + analysis/verification signal,Pass—safety/verification signal,Not explicit—full-text relevance check needed,No obvious signal,No date exclusion signal,No obvious signal,No obvious signal,Requires duplicate/version checking,No obvious signal,SCREEN — manual eligibility review
Research on Analyzing the Antivirus Protection of a Workstation using the Metasploit Framework and TheFatRat,M. Nikolov; G. Tsochev; M. Nenova,"Computer Systems, Technical University of Sofia, Sofia, Bulgaria; Information Technologies in Industry, Technical University of Sofia, Sofia, Bulgaria; Computer Networks, Technical University of Sofia, Sofia, Bulgaria",2025 28th International Symposium on Wireless Personal Multimedia Communications (WPMC),29 Jan 2026,2025.0,,,1,4,"This study investigates the effectiveness of different antivirus programs through hands-on testing using the Metasploit Framework and TheFatRat tools. The paper presents an analysis of the extent to which modern antivirus products detect and prevent malicious attacks simulated in a controlled environment. The experiments conducted lead to the conclusion that approaches in cyberspace should incorporate not only classical methods but also techniques that employ advanced behavioural analysis, script verification, and proactive risk-mitigation strategies.",1882-5621,979-8-3315-9128-1,10.1109/WPMC67460.2025.11351054,European Regional Development Fund; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11351054,obfuscation;security;antivirus protection;metasploid;thefatrat,Codes;Loading;Malware;C# languages;Workstations;Security;Protection;Payloads;Testing;Python,,,,10.0,IEEE,29 Jan 2026,9-12 Nov. 2025,9-12 Nov. 2025,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,Pass provisionally—publication metadata requires verification,Pass date; English should be verified,Pass—language + analysis/verification signal,Pass—safety/verification signal,Not explicit—full-text relevance check needed,No obvious signal,No date exclusion signal,No obvious signal,No obvious signal,Requires duplicate/version checking,No obvious signal,SCREEN — manual eligibility review
Investigating the Proximity Metric of Program Assembler Code for Genetic Reverse Engineering,K. Izrailov; I. Kotenko,"Computer Security Problems Laboratory St. Petersburg Federal Research Center of the Russian Academy of Sciences Saint-Petersburg, Russia; Computer Security Problems Laboratory St. Petersburg Federal Research Center of the Russian Academy of Sciences Saint-Petersburg, Russia","2025 33rd Euromicro International Conference on Parallel, Distributed, and Network-Based Processing (PDP)",29 Apr 2025,2025.0,,,600,607,"The paper is devoted to solving the problem of assessing the similarity of two programs, which can be used in various areas of information security and cyber forensics, such as malware search, code reuse, authorship verification, and genetic reverse engineering. For this purpose, a corresponding metric is proposed, the value of which is in the range from 0 to 1 (inclusive). The prerequisites for creating the metric are indicated, the idea is described, and an algorithm for calculating it is given, which is then implemented in the Python programming language. The metric is applied to 10 synthetic tests, which shows its overall performance and sensitivity to differences in the assembler code of programs. In addition, a series of experiments is carried out with a direct application of the metric to the assembler code of real mathematical expressions in the $\mathbf{C}$ programming language. Comparison of metric values with the Jaccard Index shows its significant advantage. The importance of using the metric in the authors’ direction of genetic reverse engineering, intended to obtain the source code of a program from its machine or assembler code by using genetic algorithms, is substantiated. The main shortcomings of the research are indicated, their justifications, and ways of elimination are given.",2377-5750,979-8-3315-2493-7,10.1109/PDP66500.2025.00090,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10974855,software;information security;metrics;assem- bler code;decompilation;reverse engineering;genetic algorithm,Measurement;Codes;Reverse engineering;Digital forensics;Information security;Syntactics;Genetics;Malware;Genetic algorithms;Testing,,1.0,,16.0,IEEE,29 Apr 2025,12-14 March 2025,12-14 March 2025,IEEE,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,Pass provisionally—publication metadata requires verification,Pass date; English should be verified,Pass—language + analysis/verification signal,Pass—safety/verification signal,Not explicit—full-text relevance check needed,No obvious signal,No date exclusion signal,No obvious signal,No obvious signal,Requires duplicate/version checking,No obvious signal,SCREEN — manual eligibility review
Improving ISO/IEC 29110 Basic Profile Process Comprehension for VSEs: A Colored Petri Net Visualization Approach Tailored for Auditor Views,N. Tuaycharoen; W. Sirikrajai; N. Pitchayanon; W. Vatanawood,"Department of Computer Engineering, Faculty of Engineering, Chulalongkorn University, Bangkok, Thailand; Department of Computer Engineering, Faculty of Engineering, Chulalongkorn University, Bangkok, Thailand; Department of Computer Engineering, Faculty of Engineering, Chulalongkorn University, Bangkok, Thailand; Department of Computer Engineering, Faculty of Engineering, Chulalongkorn University, Bangkok, Thailand",IEEE Access,21 Oct 2025,2025.0,13,,179150,179165,"The ISO/IEC 29110 is a software engineering standard widely adopted by Very Small Entities (VSEs), especially the Basic Profile, yet its implementation is complex, demanding expertise. VSEs often focus on delivering work products, while auditors assess compliance based on the detailed activities and tasks defined by the standard, creating a critical disconnect. This article proposes a novel self-assessment approach for VSEs using a formal Colored Petri Net (CPN) model focusing on the Basic Profile of the standard. This model visualizes and simulates work product-task relationships from an auditor’s perspective, making complex processes more comprehensible. Our web-based system facilitates assessment via a yes/no questionnaire. Responses inject tokens into the CPN, generating a scoring report aligned with ISO/IEC 29110 activities and tasks. Users can trace non-compliant tasks and visualize task-work product relationships, specifically highlighting what an auditor seeks. By bridging this perspective gap, our CPN-based visualization empowers VSEs to better understand, comply with, self-assess, and ultimately achieve ISO/IEC 29110 certification more efficiently.",2169-3536,,10.1109/ACCESS.2025.3621111,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11202472,Auditor perspective;colored petri nets (CPNs);ISO/IEC 29110;process visualization;self-assessment;very small entities (VSEs),Standards;ISO Standards;IEC Standards;Software;Certification;Visualization;Software engineering;Data visualization;Petri nets;Personnel,,2.0,,96.0,CCBY,13 Oct 2025,2025,,IEEE,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,Pass provisionally—publication metadata requires verification,Pass date; English should be verified,Pass—language + analysis/verification signal,Pass—safety/verification signal,Not explicit—full-text relevance check needed,No obvious signal,No date exclusion signal,No obvious signal,No obvious signal,Requires duplicate/version checking,No obvious signal,SCREEN — manual eligibility review
