year,title,venue,topic,notes
2013,The safety-critical java mission model: A formal account,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),formal mission model,"Formalizes missions and event handlers as a first step toward refinement reasoning [:reference:]abstract@170@24@2-s2.0-80455162653@@false[:/reference:]"
2013,A hypervisor based platform to support real-time safety critical embedded Java applications,Computer Systems Science and Engineering,platform / implementation,"Describes a platform for real-time safety-critical embedded Java with performance analysis [:reference:]abstract@185@25@2-s2.0-84881432830@@false[:/reference:]"
2013,Compiling and verifying SC-SystemJ programs for safety-critical reactive systems,,verification / compiler,"Introduces a safety-critical subset of SystemJ with verification and code generation [:reference:]full_text@186@26@S147784241530004X@S147784241530004X-chunk-1@false[:/reference:]"
2014,SCJ: Memory-safety checking without annotations,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),memory safety analysis,"Uses inference rules and an abstract language to check memory safety without annotations [:reference:]abstract@187@27@2-s2.0-84958549089@@false[:/reference:]"
2014,An evaluation of safety-critical Java on a Java processor,Proceedings - IEEE 17th International Symposium on Object/Component/Service-Oriented Real-Time Distributed Computing, ISORC 2014,implementation evaluation,"Measures periods, allocation, event handling, latency, and synchronization [:reference:]abstract@175@28@2-s2.0-84941270238@@false[:/reference:]"
2014,Circus models for safety-critical java programs,Computer Journal,formal modeling,"Automates generation of formal models for SCJ Level 1 [:reference:]abstract@179@29@2-s2.0-84903192450@@false[:/reference:]"
2015,Laws of mission-based programming,Formal Aspects of Computing,formal refinement,"Presents laws and patterns for refining SCJ mission specifications [:reference:]abstract@188@30@2-s2.0-84925490085@@false[:/reference:]"
2015,Compiling and verifying SC-SystemJ programs for safety-critical reactive systems,,verification / compiler,"Reports a tool-chain for verifying liveness and safety and generating executables [:reference:]full_text@186@31@S147784241530004X@S147784241530004X-chunk-1@false[:/reference:]"
2016,SCJ-Circus: A refinement-oriented formal notation for Safety-Critical Java,Electronic Proceedings in Theoretical Computer Science, EPTCS,formal notation,"Defines a refinement-oriented notation and semantics for SCJ [:reference:]abstract@189@32@2-s2.0-84991670878@@false[:/reference:]"
2016,SCJ-Circus: Specification and refinement of Safety-Critical Java programs,Science of Computer Programming,formal refinement,"Extends refinement strategy from Circus designs to SCJ program designs [:reference:]abstract@190@33@2-s2.0-85060444150@@false[:/reference:]"
2016,Modelling and verifying a priority scheduler for an SCJ runtime environment,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),scheduler verification,"Verifies the scheduler of the icecap HVM SCJ virtual machine [:reference:]abstract@191@34@2-s2.0-84977483268@@false[:/reference:]"
2016,A formal model of the Safety-Critical Java level 2 Paradigm,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),formal semantics,"Provides the first formal semantics of SCJ Level 2 [:reference:]abstract@192@35@2-s2.0-84977514970@@false[:/reference:]"
2016,Refinement strategies for safety-critical java,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),refinement / code generation,"Extends refinement strategy to more complex SCJ patterns [:reference:]abstract@181@36@2-s2.0-84958039202@@false[:/reference:]"
2016,SCJ-Circus: Specification and refinement of Safety-Critical Java programs,Science of Computer Programming,formal refinement,"Supports specification and verification of low-level SCJ models [:reference:]abstract@190@37@2-s2.0-85060444150@@false[:/reference:]"
2017,Java in the safety-critical domain,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),tutorial / verification,"Presents SCJ and a verification technique based on refinement [:reference:]abstract@112@38@2-s2.0-85018423488@@false[:/reference:]"
2017,Safety-Critical Java: level 2 in practice,Concurrency and Computation: Practice and Experience,SCJ Level 2 / API limitations,"Identifies Level 2 requirements and needed specification changes [:reference:]abstract@193@39@2-s2.0-84987859189@@false[:/reference:]"
2017,Safety-critical Java for embedded systems,Concurrency and Computation: Practice and Experience,engineering summary,"Summarizes prototype implementations, processor work, and memory-safety tools [:reference:]abstract@194@40@2-s2.0-85010611289@@false[:/reference:]"
2017,Algebraic compilation of safety-critical Java bytecode,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),bytecode verification / compiler,"Gives a formal bytecode interpreter and compilation strategy toward verified SCJVMs [:reference:]abstract@195@41@2-s2.0-85030173655@@false[:/reference:]"
2019,SCJ-Circus: Specification and refinement of Safety-Critical Java programs,Science of Computer Programming,formal verification,"Emphasizes certification-oriented architecture, concurrency, and memory models [:reference:]abstract@190@42@2-s2.0-85060444150@@false[:/reference:]"
2024,SMUP: A technique to improve MC/DC using specified patterns,,certification / SCJ context,"Mentions SCJ as a Level A certification-oriented Java standard [:reference:]full_text@196@43@S0045790624006335@S0045790624006335-chunk-3@false[:/reference:]"
