year,title,venue,keyword,notes
2022,A gradual type system for Elixir,Journal of Computer Languages,gradual typing,[:reference:]abstract@53@36@2-s2.0-85119912249@@false[:/reference:]
2022,Quantifying the interpretation overhead of Python,,Python static analysis,[:reference:]full_text@71@37@S0167642321001520@S0167642321001520-chunk-68@false[:/reference:]
2023,Pattern-based circular reference detection in Python,,Python static analysis / type inference,[:reference:]full_text@40@38@S016764232300014X@S016764232300014X-chunk-83@false[:/reference:]
2023,Learning to Predict User-Defined Types,IEEE Transactions on Software Engineering,type inference,[:reference:]abstract@72@39@2-s2.0-85131718430@@false[:/reference:]
2023,Detecting and Explaining Python Name Errors,,Python static analysis,[:reference:]full_text@49@40@S0950584924001976@S0950584924001976-chunk-4@false[:/reference:]
2024,QuAC: Quick Attribute-Centric Type Inference for Python,Proceedings of the ACM on Programming Languages,type inference,[:reference:]abstract@10@41@2-s2.0-85206933850@@false[:/reference:]
2024,Generating Python Type Annotations from Type Inference: How Far Are We?,ACM Transactions on Software Engineering and Methodology,type inference,[:reference:]abstract@58@42@2-s2.0-85195633748@@false[:/reference:]
2024,Static Blame for gradual typing,Journal of Functional Programming,gradual typing,[:reference:]abstract@50@43@2-s2.0-85188733508@@false[:/reference:]
2025,Towards a type-based abstract semantics for Python,,Python static analysis / type inference,[:reference:]full_text@32@44@S2352220824000865@S2352220824000865-chunk-14@false[:/reference:]
2025,DeVAIC: A tool for security assessment of AI-generated code,,static analysis,[:reference:]full_text@74@45@S0950584924001770@S0950584924001770-chunk-89@false[:/reference:]
2025,Static analysis by abstract interpretation against data leakage in machine learning,,static analysis,[:reference:]full_text@75@46@S0167642325000772@S0167642325000772-chunk-60@false[:/reference:]
2025,Efficient Selection of Type Annotations for Performance Improvement in Gradual Typing,Art, Science, and Engineering of Programming,gradual typing,[:reference:]abstract@11@47@2-s2.0-105032681882@@false[:/reference:]
2026,Pythonic existential types,,Python typing / static type checking,[:reference:]full_text@76@48@S2352220826000453@S2352220826000453-chunk-102@false[:/reference:]
2026,Exception handling bugs in Python: An empirical study of root causes, fix patterns, and anti-patterns,,Python static analysis / type errors,[:reference:]full_text@78@49@S0950584926002533@S0950584926002533-chunk-113@false[:/reference:]
2026,Assessing Python’s suitability for airborne safety-critical systems under DO-178C guidelines,,Python static analysis,[:reference:]full_text@79@50@S2590118425000693@S2590118425000693-chunk-35@false[:/reference:]
2026,HLAnte: A Python command-line interface for unified HLA genotype annotation with integrated pharmacogenomic, disease, and population evidence,,Python static typing practice,[:reference:]full_text@80@51@S0198885926004052@S0198885926004052-chunk-6@false[:/reference:]
2004,"Safer language subsets: An overview and a case history, MISRA C",Information and Software Technology,safer language subsets,"Directly about safer language subsets and MISRA C; explains rationale, specification, implementation, and enforcement [:reference:]abstract@85@1@2-s2.0-1642309241@@false[:/reference:] [:reference:]full_text@87@1@S0950584903002076@S0950584903002076-chunk-43@false[:/reference:]"
2005,Issues in the application of software safety standards,Conferences in Research and Practice in Information Technology Series,software safety standards,Discusses practical issues and limitations in applying safety standards to safety-critical software [:reference:]abstract@88@2@2-s2.0-84873296020@@false[:/reference:]
2005,Structured assurance cases: Three common standards,Proceedings of IEEE International Symposium on High Assurance Systems Engineering,assurance cases / standards,"Shows how assurance-case structuring applies to safety-, mission-, and security-critical systems [:reference:]abstract@89@3@2-s2.0-33846988559@@false[:/reference:]"
2006,Ada 2005: A language for high-integrity applications,CrossTalk,high-integrity language,Presents Ada 2005 as supporting high-integrity and safety certification needs [:reference:]abstract@90@4@2-s2.0-33747111034@@false[:/reference:]
2007,"A UML profile for developing airworthiness-compliant (RTCA DO-178B), safety-critical software",Lecture Notes in Computer Science,UML profile / certification,Defines SafeUML to support airworthiness-compliant safety-critical software development and certification [:reference:]abstract@91@5@2-s2.0-38049082909@@false[:/reference:]
2007,Languages for safety-critical software: Issues and assessment,Proceedings - International Conference on Software Engineering,restricted subsets / language choice,"Reviews Ada, C/C++, Java, MISRA C, SPARK, and Java safety profile issues for certification [:reference:]abstract@92@6@2-s2.0-34548799157@@false[:/reference:]"
2007,Production code generation for safety-critical systems,SAE Technical Papers,safety-critical development,"Covers language subsets, V&V, traceability, and code generation for high-integrity software [:reference:]abstract@93@7@2-s2.0-85072439006@@false[:/reference:]"
2007,Safety-critical software development using automatic production code generation,SAE Technical Papers,certifiable code generation,Discusses production code generation under IEC 61508-style constraints and required verification evidence [:reference:]abstract@94@8@2-s2.0-85087584101@@false[:/reference:]
2008,How to select a programming language subset to maximise software quality,Improvements in System Safety - Proceedings of the 16th Safety-Critical Systems Symposium,language subset selection,Proposes a methodology for constructing a language subset for safety/mission-critical systems [:reference:]abstract@83@9@2-s2.0-84883024728@@false[:/reference:]
2008,The use and implementation of coding standards for high-confidence embedded systems,IEEE Aerospace Conference Proceedings,coding standards,"Surveys large rule sets, enforcement issues, and adoption guidance for safety-critical embedded systems [:reference:]abstract@95@10@2-s2.0-49349091082@@false[:/reference:]"
2008,Restricting IEC 61131-3 programming languages for use on high integrity applications,IEEE International Conference on Emerging Technologies and Factory Automation,restricted subset,Proposes a restricted subset of IEC 61131-3 languages for high-integrity applications [:reference:]abstract@96@11@2-s2.0-56349109497@@false[:/reference:]
2008,Assessing the value of coding standards: An empirical study,"IEEE International Conference on Software Maintenance, ICSM",coding standards effectiveness,Empirically studies the relation between coding rules and faults using MISRA C [:reference:]abstract@97@12@2-s2.0-57849089183@@false[:/reference:]
2008,VHDL guidance for safe and certifiable FPGA design,IET Conference Publications,coding guidance / certifiable design,"Proposes a VHDL subset and guidance for safe, certifiable FPGA design [:reference:]abstract@98@13@2-s2.0-79851485246@@false[:/reference:]"
2009,Evaluating the relation between coding standard violations and faults within and across software versions,Proceedings of the 2009 6th IEEE International Working Conference on Mining Software Repositories,coding standards / faults,Finds several MISRA C rules significantly predict fault locations [:reference:]abstract@99@14@2-s2.0-70349935045@@false[:/reference:]
2009,Certification of software for real-time safety-critical systems: State of the art,Innovations in Systems and Software Engineering,certification,"Reviews certification activities, tools, and language-related issues in safety-critical systems [:reference:]abstract@86@15@2-s2.0-67649637649@@false[:/reference:]"
2009,Open-DO: An open-source initiative for the development of safety-critical software,IET Conference Publications,certification tooling,Targets automation and incremental certification for safety-critical software [:reference:]abstract@100@16@2-s2.0-77955972770@@false[:/reference:]
2010,Checking compliance to coding standards for x86 executables,"Proceedings - Symposia and Workshops on Ubiquitous, Autonomic and Trusted Computing",coding standards compliance,Shows static binary analysis can check some MISRA-C 2004 rules even without source code [:reference:]abstract@101@17@2-s2.0-78651448398@@false[:/reference:]
2010,Safety-critical software development using automatic production code generation,SAE Technical Papers,production code generation,Links automation with verification evidence and certification constraints [:reference:]abstract@94@18@2-s2.0-85087584101@@false[:/reference:]
2011,Modeling safety and airworthiness (RTCA DO-178B) information: Conceptual model and UML profile,Software and Systems Modeling,UML profile / airworthiness,Introduces SafeUML to model safety and certification information for aerospace software [:reference:]abstract@102@19@2-s2.0-79959761314@@false[:/reference:]
2011,A model-driven engineering approach to support the verification of compliance to safety standards,Proceedings - International Symposium on Software Reliability Engineering,model-driven compliance,Uses UML profiles and MDE to verify compliance to safety standards [:reference:]abstract@103@20@2-s2.0-84856874984@@false[:/reference:]
2011,Using UML profiles for sector-specific tailoring of safety evidence information,Lecture Notes in Computer Science,UML profile / safety evidence,Shows how UML profiles can specialize generic standards for sector-specific evidence requirements [:reference:]abstract@104@21@2-s2.0-80455129402@@false[:/reference:]
2012,A SysML-based approach to traceability management and design slicing in support of safety certification,article,traceability / certification,"Targets certification evidence, traceability, and design slicing for safety-critical software [:reference:]full_text@105@22@S095058491200016X@S095058491200016X-chunk-1@false[:/reference:]"
2013,"Supporting the verification of compliance to safety standards via model-driven engineering: Approach, tool-support and empirical validation",Information and Software Technology,verification of compliance,Provides tool-supported MDE for creating certification evidence and validates it in industry [:reference:]abstract@84@23@2-s2.0-84875217107@@false[:/reference:]
2013,Defining requirements on domain-specific languages in model-driven software engineering of safety-critical systems,"Lecture Notes in Informatics (LNI), Proceedings - Series of the Gesellschaft fur Informatik (GI)",DSLs / safety-critical systems,Defines formal requirements for DSLs used to generate software for safety-critical systems [:reference:]abstract@106@24@2-s2.0-84922706530@@false[:/reference:]
2013,AERB SG D-25 and IEC 60880 for certification of software in safety systems of Indian NPP,Lecture Notes in Electrical Engineering,certification standards,Focuses on regulatory requirements for certifying nuclear safety software [:reference:]abstract@107@25@2-s2.0-84881167386@@false[:/reference:]
2014,Software safety standards: Evolution and lessons learned,Proceedings - 1st International Conference on Trustworthy Systems and Their Applications,safety standards evolution,Surveys major software safety standards and common features valued by industry [:reference:]abstract@108@26@2-s2.0-84915814834@@false[:/reference:]
2014,Evaluating software safety standards: A systematic review and comparison,Proceedings - 8th International Conference on Software Security and Reliability - Companion,standards comparison,Compares major safety standards and finds no single standard dominates all criteria [:reference:]abstract@109@27@2-s2.0-84908658947@@false[:/reference:]
2016,"Standards-based metamodel for the management of goals, risks and evidences in critical systems development",article,standards-based metamodel,"Manages goals, risks, and evidence in critical systems development [:reference:]full_text@110@28@S0920548916300319@S0920548916300319-chunk-4@false[:/reference:]"
2016,On the Exploration of Model-Based Support for DO-178C-Compliant Avionics Software Development and Certification,Proceedings - 2016 IEEE 27th International Symposium on Software Reliability Engineering Workshops,DO-178C compliance,Reviews model-based approaches for DO-178C development and certification [:reference:]abstract@111@29@2-s2.0-85009771923@@false[:/reference:]
2017,Java in the safety-critical domain,Lecture Notes in Computer Science,Safety-Critical Java,Describes SCJ as a standard for criticality-aware programming and certification [:reference:]abstract@112@30@2-s2.0-85018423488@@false[:/reference:]
2017,A goal-driven approach for the joint deployment of safety and security standards for operators of essential services,Journal of Software: Evolution and Process,joint safety/security standards,"Uses model-based, goal-oriented analysis to connect standards to concrete measures [:reference:]abstract@113@31@2-s2.0-85103825528@@false[:/reference:]"
2018,Review of formal agile methods as cost-effective airworthiness certification processes,Journal of Aerospace Information Systems,airworthiness certification,Reviews how agile/formal/model-based methods can still satisfy DO-178C objectives [:reference:]abstract@114@32@2-s2.0-85051215587@@false[:/reference:]
2019,Using language workbenches and domain-specific languages for safety-critical software development,Software and Systems Modeling,DSLs / language workbenches,Explains how DSLs and verified transformations can be used in safety-critical environments [:reference:]abstract@115@33@2-s2.0-85047136646@@false[:/reference:]
2020,Patterns for Certification Standards,Lecture Notes in Computer Science,certification patterns,Proposes a generic method for building assurance cases for complex standards [:reference:]abstract@116@34@2-s2.0-85086271720@@false[:/reference:]
2021,A goal-driven approach for the joint deployment of safety and security standards for operators of essential services,Journal of Software: Evolution and Process,standards deployment,Supports coordinated deployment of safety and security standards [:reference:]abstract@113@35@2-s2.0-85103825528@@false[:/reference:]
2021,AUTOCHECK: A Tool for Checking Compliance with Automotive Coding Standards,2021 Zooming Innovation in Consumer Technologies Conference,coding standards tool,Automates compliance checking for Autosar C++14 rules [:reference:]abstract@117@36@2-s2.0-85114965031@@false[:/reference:]
2022,Model-based assurance evidence management for safety-critical systems,Software and Systems Modeling,evidence management,Validated approach for managing assurance evidence in industry [:reference:]abstract@118@37@2-s2.0-85122693298@@false[:/reference:]
2023,ProCon: An automated process-centric quality constraints checking framework,article,quality constraints / certification,Targets documentation and traceability needed in certification processes [:reference:]full_text@119@38@S016412122300122X@S016412122300122X-chunk-10@false[:/reference:]
2024,Development of a Critical System Using a Domain Specific Language,"2024 IEEE Space, Aerospace and Defence Conference",DSL for critical systems,Shows a DSL used in a nuclear safety-related computer system under strict regulatory requirements [:reference:]abstract@120@39@2-s2.0-85205272471@@false[:/reference:]
2024,"Defining Model-Driven Safety-Critical Software Engineering, with International Standard",Proceedings - 2024 7th International Conference on Information and Computer Technologies,model-driven engineering / standards,Uses DO-178C as a basis for model-driven safety-critical engineering [:reference:]abstract@121@40@2-s2.0-85196123410@@false[:/reference:]
2024,Systematic review on contract-based safety assurance and guidance for future research,article,contract-based assurance,Summarizes contract-based safety assurance and safety-case construction [:reference:]full_text@122@41@S1383762123002151@S1383762123002151-chunk-1@false[:/reference:]
2025,Why the use of domain-specific modeling in airworthy software requires new methods and how these might look like?,Innovations in Systems and Software Engineering,domain-specific modeling,Explains why airworthy DSM needs qualified tools and new certification-friendly methods [:reference:]abstract@123@42@2-s2.0-85198042289@@false[:/reference:]
2026,A Certifiable Approach to Multicore Using Ada,OpenAccess Series in Informatics,certifiable language profile,Uses Ada restricted tasking profiles to provide a certifiable multicore execution model [:reference:]abstract@124@43@2-s2.0-105042759124@@false[:/reference:]
2026,Assessing Python’s suitability for airborne safety-critical systems under DO-178C guidelines,article,Python / certification,Directly addresses Python against DO-178C in airborne safety-critical systems [:reference:]full_text@125@44@S2590118425000693@S2590118425000693-chunk-26@false[:/reference:]
1997,Design by contract for Python,,contract-based verification,Directly about adding design-by-contract to Python via metaprogramming and dynamic type checking [:reference:]abstract@79@1@2-s2.0-0031374631@@false[:/reference:]
2013,Python: The full monty: A tested semantics for the python programming language,ACM SIGPLAN Notices,formal semantics / proofs,"Provides a tested operational semantics for Python, supporting tools and proofs [:reference:]abstract@81@2@2-s2.0-84888799333@@false[:/reference:]"
2026,Cocotb in modern functional verification – a critical Review and comparative analysis with SystemVerilog/UVM,International Journal of Electronics and Telecommunications,functional verification / Python framework,Reviews cocotb as a Python-based functional verification framework for digital systems [:reference:]abstract@80@3@2-s2.0-105039113974@@false[:/reference:]
2024,Easing maintenance of academic static analyzers,International Journal on Software Tools for Technology Transfer,formal analysis / static analysis,"About static analysis tooling and soundness; included because it concerns verification infrastructure, though not Python-specific [:reference:]abstract@82@4@2-s2.0-85217186317@@false[:/reference:]"
1999,Applying formal proof techniques to avionics software: A pragmatic approach,Lecture Notes in Computer Science,formal verification / avionics
2001,Formal analysis of a space-craft controller using SPIN,ARTICLE,model checking / spacecraft
2008,Gradual typing with unification-based inference,DLS'08: Proceedings of the 2008 Symposium on Dynamic Languages,gradual typing / type inference
2009,Towards gradual typing for generics,Proceedings for the 1st Workshop on Script to Program Evolution,gradual typing
2009,Principal type schemes for gradual programs,Conference Record of the Annual ACM Symposium on Principles of Programming Languages,gradual typing / type inference
2010,Integrating model checking with safety-critical I&C software design,7th International Topical Meeting on Nuclear Plant Instrumentation, Control, and Human-Machine Interface Technologies 2010,model checking / safety-critical systems
2011,Preemptive type checking in dynamically typed languages,Lecture Notes in Computer Science,type checking / Python-like dynamic languages
2013,Static type analysis for python,Proceedings - 11th Web Information System and Application Conference, WISA 2014,Python static analysis / type inference
2013,On the cost of type-tag soundness,PEPM 2018 - Proceedings of the ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,gradual typing / performance
2013,Verification conditions for source-level imperative programs,ARTICLE,deductive verification / model checking
2013,Testing or formal verification: DO-178C alternatives and industrial experience,IEEE Software,formal verification / DO-178C
2014,How do programmers use optional typing? An empirical study,MODULARITY 2014,optional typing
2014,A case study of specification and verification using JML in an avionics application,ACM International Conference Proceeding Series,deductive verification / avionics
2014,Formal verification of avionics software products,ARTICLE,formal verification / avionics
2015,Static value analysis of python programs by abstract interpretation,Lecture Notes in Computer Science,Python abstract interpretation
2015,How Good Are Your Types? Using Mutation Analysis to Evaluate the Effectiveness of Type Annotations,ICSTW 2017,type annotations / evaluation
2015,Principal type schemes for gradual programs,Conference Record of the Annual ACM Symposium on Principles of Programming Languages,gradual typing
2016,Formal verification of avionics self adaptive software: A case study,ACM International Conference Proceeding Series,formal verification / avionics
2017,An approach to formal verification of python software transactional memory,ACM International Conference Proceeding Series,Python formal verification
2017,Big types in little runtime: Open-world soundness and collaborative blame for gradual type systems,Conference Record of the Annual ACM Symposium on Principles of Programming Languages,gradual typing
